Brand,Name,Notes
White Farm,Leaves,"[Red apple, Nectar, Clove]"
White Farm,Pumpkin Cinnamon Bun,"[Cinnamon, Pumpkin spice, Vanilla]"
White Farm,The Perfect Autumn,"[Cranberry, Pumpkin, Apple, Clove]"
White Farm,Pumpkin Carving,"[Pumpkin, Pumpkin seed, Brown sugar]"
White Farm,Pumpkin S'mores,"[Roasted marshmallow, Chocolate, Pumpkin]"
White Farm,Pumpkin Pecan Waffles,"[Maple syrup, Waffle, Pumpkin spice, Brown sugar]"
White Farm,Book Loft,"[Bergamot, Neroli, Woods]"
White Farm,Sweater Weather,"[Sage, Juniper berry, Eucalyptus, Woods]"
White Farm,Main Street Bakery,"[Banana, Vanilla, Cinnamon sugar]"
White Farm,Champagne Toast,"[Champagne, Berries, Tangerine]"
White Farm,Fall Farmhouse,"[Spice Pumpkin, Pine, Fresh notes]"
White Farm,Sweet Cinnamon Pumpkin,"[Cinnamon, Clove, Vanilla, Brown sugar]"
White Farm,Mahogany Teakwood Intense,"[Mahogany, Black teakwood, Oak, Lavender]"
White Farm,Vampire Blood,"[Red berries, Jasmine, Plum]"
White Farm,Ghoul Friend,"[Strawberry, Peony, Citrus]"
White Farm,Spooky Moontini,"[Berries, Sugar, Citrus]"
White Farm,Pumpkin Pecan Waffles,"[Maple syrup, Waffles, Pumpkin spice, Brown sugar]"
White Farm,Cozy Sunday Night,"[Cinnamon, Ginger, Vanilla]"
White Farm,Pumpkin Apple,"[Red apple, Pumpkin, Cinnamon, Clove]"
White Farm,Cuddle Weather,"[Gingerbread, Tea, Cinnamon, Cotton Fabric]"
White Farm,Fresh Fall Morning,"[Citrus, Woodland, Sage, Red apple]"
White Farm,Pumpkin Bonfire,"[White Pumpkin, Clove, Embers]"
White Farm,White Pumpkin,"[White Pumpkin, Ginger, Caramel, Spices]"
White Farm,Pumpkin Clove,"[Clove, Cinnamon, Nutmeg, Pumpkin]"
White Farm,Coffee and Whiskey,"[Irish whiskey, Vanilla, Coffee]"
White Farm,Marshmallow Fireside,"[Marshmallow, Woods, Vanilla, Amber]"
White Farm,Mahogany Apple,"[Mahogany wood, Golden delicious apple, Pink Peppercorn, Lavender]"
White Farm,Palo Santo and Sage,"[Clary sage, Palo Santo, Amberwood]"
White Farm,Vanilla Romance,"[Cardamom, Vanilla, Woods]"
White Farm,Cinnamon Stick,"[Cinnamon, Clove, Nutmeg]"
White Farm,Sweet Whiskey,"[Amber, Vanilla, Whiskey, Red berries]"
White Farm,Into The Night,"[Black raspberry, Rose, Mocha, Soft musk]"
